depth,hook_load_avg,wob_avg,rpm_surface_avg,torqueabs_avg,spp_avg,rop_inst,well_bore_code
0.164,48.19,-999.25,0,-6,230.4,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,232.39,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,232.39,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,232.39,-3278.3794,NO 15/9-F-1 C
0.164,48.19,-999.25,0,-8,230.4,-3278.3794,NO 15/9-F-1 C
0.164,48.46,-999.25,0,-8,231.19,-3278.3794,NO 15/9-F-1 C
0.164,48.46,-999.25,0,-8,231.19,-3278.3794,NO 15/9-F-1 C
0.164,48.46,-999.25,0,-9,231.19,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-9,230,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-8,227.61,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-8,227.61,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-8,227.61,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-6,222.84,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-6,222.84,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-4,220.45,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-4,213.69,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-4,213.69,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-6,213.69,-3278.3794,NO 15/9-F-1 C
0.164,48.46,-999.25,0,-8,214.49,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,216.48,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,216.48,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-6,218.47,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-6,218.47,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-6,218.47,-3278.3794,NO 15/9-F-1 C
0.164,47.97,-999.25,0,-6,221.65,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-6,224.83,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-6,224.83,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-6,259.04,-3278.3794,NO 15/9-F-1 C
0.164,48.23,-999.25,0,-8,259.04,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,259.04,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,259.04,-3278.3794,NO 15/9-F-1 C
0.164,47.95,-999.25,0,-8,284.5,-3278.3794,NO 15/9-F-1 C
0.164,47.95,-999.25,0,-6,284.5,-3278.3794,NO 15/9-F-1 C
0.164,47.95,-999.25,0,-6,284.5,-3278.3794,NO 15/9-F-1 C
0.164,47.8,-999.25,0,-6,292.05,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-6,295.24,-3278.3794,NO 15/9-F-1 C
0.164,48.02,-999.25,0,-6,295.24,-3278.3794,NO 15/9-F-1 C
